Project Name,Project Link,Country,Status,Approval Date
P252350 - Rwanda Priority Skills for Growth (PSG),https://projects.worldbank.org/en/projects-operations/project-detail/P252350?lang=en,Rwanda,Disbursing&Repaying,07/05/2017
IDA61190,No Link,Rwanda,Disbursing,06/30/2020
IDA67530,No Link,Rwanda,Disbursing,06/30/2020
P181200 - Housing Repair for People's Empowerment Project  (HOPE),https://projects.worldbank.org/en/projects-operations/project-detail/P181200?lang=en,Ukraine,Disbursing,08/30/2023
P181146 - Vietnam inclusive and sustainable recovery DPF (2nd Operation),https://projects.worldbank.org/en/projects-operations/project-detail/P181146?lang=en,Vietnam,Approved,06/29/2023
P181086 - Technical Assistance for Kambarata 1 Hydropower Plant Project,https://projects.worldbank.org/en/projects-operations/project-detail/P181086?lang=en,Kyrgyz Republic,Approved,10/31/2023
P181079 - Ecuador: Emergency Resilient Reconstruction Project,https://projects.worldbank.org/en/projects-operations/project-detail/P181079?lang=en,Ecuador,Signed,06/09/2023
"P181068 - Türkiye: Post-Earthquake Micro, Small and Medium Enterprises (MSME) Recovery project",https://projects.worldbank.org/en/projects-operations/project-detail/P181068?lang=en,Turkiye,Disbursing,06/27/2023
P181032 - First Low-Carbon Energy Programmatic Development Policy Loan,https://projects.worldbank.org/en/projects-operations/project-detail/P181032?lang=en,India,Approved,06/29/2023
IDA73750,No Link,India,Approved,06/29/2023
P181023 - Ukraine Relief and Recovery Development Policy Loan,https://projects.worldbank.org/en/projects-operations/project-detail/P181023?lang=en,Ukraine,Disbursing,06/29/2023
P180849 - Türkiye Earthquake Recovery and Reconstruction Project,https://projects.worldbank.org/en/projects-operations/project-detail/P180849?lang=en,Turkiye,Effective,06/27/2023
"P180755 - Digital, Innovation, and Green Technology Project",https://projects.worldbank.org/en/projects-operations/project-detail/P180755?lang=en,Croatia,Effective,06/22/2023
P180732 - Ukraine Agriculture Recovery Inclusive Support Emergency (ARISE) Project,https://projects.worldbank.org/en/projects-operations/project-detail/P180732?lang=en,Ukraine,Approved,10/30/2023
P180707 - Khyber Pakhtunkhwa Citizen-Centered Service Delivery Project,https://projects.worldbank.org/en/projects-operations/project-detail/P180707?lang=en,Pakistan,Effective,07/06/2023
